user_id,domitory,age,student_id,gender,major,bedtime,clean_duration,smoke,alcohol,mbti,one_sentence
79,3,3,3,1,3,2,1,0,1,INTJ,효율적인 기숙사 생활을 룸메이트와 명확한 규칙을 세우고 싶어요!
80,3,3,3,0,1,2,2,0,1,INTP,활발하고 취미부자입니다
81,2,1,2,0,4,4,1,0,0,ENFP,사람들 만나는걸 좋아하고 룸메이트와 같이 놀러다니고 싶어요!
82,3,1,1,0,0,4,0,0,1,ISFP,게임 좋아하고 운동 좋아합니다
83,2,0,0,0,1,4,1,0,1,ESFJ,활발하고 노는거 좋아하는 ESFJ입니다
84,3,3,3,1,1,3,0,0,1,ISFJ,사생활은 터치 안했으면 좋겠습니다
85,2,2,2,0,1,4,1,0,0,INFJ,처음에는 낯가리지만 친해지면 말 많아요
86,0,2,2,0,1,4,1,0,0,INTJ,옷 좋아하고 쇼핑하는 것도 좋아해요!
87,0,3,4,0,2,1,0,0,1,ESFP,아침형이라서 야간에는 조용하신 분 찾습니다
88,2,3,4,1,0,3,0,0,1,INFJ,카페 같이 갈 분 찾아요
89,2,4,4,0,1,3,0,0,1,ENTP,항상 배려 깊고 재밌습니다!
90,1,3,3,0,2,3,2,0,2,ENFJ,같이 운동 다니실 분 찾습니다
91,2,4,4,1,3,4,1,0,1,INTJ,독립적이고 조용히 있는 걸 좋아하는 편입니다.
92,3,4,4,0,4,1,0,0,0,INFJ,룸메이트와 여러 이야기를 할 수 있길 원합니다.
93,2,3,4,0,1,1,0,0,0,ISFJ,청결을 중요시하여 정돈된 생활을 원합니다.
94,1,2,1,1,2,4,2,0,1,ESTP,룸메이트와 재밌게 놀고 자유롭게 지내고 싶습니다.
95,2,4,4,1,1,2,1,0,1,INTP,각자 사생활 존중하며 지내고 싶습니다.
96,3,2,3,1,0,3,1,0,1,INFP,낯을 많이 가리지만 친해지면 같이 잘 지내고 싶습니다.
97,2,4,4,1,1,3,1,0,1,ISTJ,계획적이고 꼼꼼한 성격으로 청결하고 정돈된 생활을 하고 싶다.
98,2,3,4,1,1,3,0,0,1,ENFJ,새로운 사람 만나는 걸 좋아하고 친화력이 좋은 편입니다.
99,1,1,1,1,2,3,0,0,1,ISTJ,말이 별로 없는 편이고 조용합니다.
100,1,2,2,0,2,4,1,0,0,INTP,향에 예민한 편이기에 향수를 잘 안 뿌렸으면 좋겠습니다.
101,2,4,4,0,1,3,1,0,1,ISFP,방에 타인이 들어오는 걸 별로 안 좋아하는 편입니다.
102,1,0,0,1,2,4,1,0,1,ISFP,저는 방에 자주 있는 편입니다.
103,2,4,4,0,2,3,0,0,0,ISTP,독립성이 강한 성격입니다.
104,2,4,4,0,1,3,0,0,1,INFJ,수면시간이 비슷한 룸메이트였으면 좋겠습니다.
105,2,4,4,0,0,2,0,0,1,INFP,잠귀가 어두워서 잘 안 깨는 편입니다.
106,2,4,4,0,1,3,1,0,1,ESFP,게임을 좋아하며 방에서도 게임을 자주 합니다.
107,2,4,4,1,1,2,1,0,1,INTP,방에 잘 안 들어오는 편입니다.
108,2,3,4,1,3,3,0,0,1,ESTJ,"무던한 성격으로, 룸메이트도 예민한 성격이 아니었으면 좋겠어요"
109,2,4,4,1,1,3,1,0,2,ENTP,"책 읽기와 영화 감상을 특히 좋아하는 편으로, 같이 하면 좋겠어요"
110,2,4,4,0,0,4,2,0,0,INTP,"다양한 취미 생활에 관심 있으며, 같이 공유하고 싶어요."
111,2,2,4,0,3,3,1,0,1,ISFJ,잠버릇이 없는 룸메이트를 원합니다.
112,2,4,4,1,1,3,1,0,1,ISTP,"조용한 편이고, 룸메이트도 말이 별로 없었으면 좋겠어요."
113,1,0,2,1,2,3,1,0,1,ESTJ,화장실을 깨끗하게 사용하는 룸메이트를 원합니다.
114,2,3,3,0,1,3,1,0,0,INTP,알람을 잘 듣고 바로 일어나는 룸메이트를 원해요.
115,2,0,2,0,1,3,1,0,1,ESFJ,기숙사에 늦게 들어가는 편입니다.
116,2,2,3,1,0,2,1,0,1,ESFP,주기적으로 약속이 많은 편으로 자주 늦게 들어옵니다.
117,2,4,4,1,1,2,0,1,1,INFJ,한국에 있는 역사 박물관도 자주 가는 편입니다.
118,2,3,4,0,1,3,1,1,1,ISTP,본가가 가까운 편이어서 자주 본가에 갑니다.
119,2,3,4,0,1,1,0,0,0,ENFJ,패션과 옷에 관심이 많은 편이에요.
120,2,3,3,0,1,3,1,0,1,ESTJ,수면 시간이 최대한 비슷한 상대를 원합니다.
121,2,4,4,1,1,3,0,0,2,ESTJ,운동과 건강에 큰 관심이 있는 편이에요.
122,2,2,2,0,1,3,0,0,0,ISFJ,자신을 성장하기 위한 자기계발서를 자주 읽습니다.
123,0,4,4,1,2,2,1,0,1,INTP,영통에서 보드게임을 즐깁니다.
124,0,4,4,1,4,3,1,0,1,INTP,수업시간에 낮잠을 자주 잡니다.
125,0,1,1,0,3,4,1,0,0,INTJ,주말에는 술마시고 흡연하는 걸 좋아합니다.
126,0,3,3,0,4,4,1,0,0,INFP,처음에는 조용한 편이지만 친해지면 말 많아요!
127,1,0,0,1,2,4,2,0,1,ISTP,예카페 좋아하는 사람과 룸메이트 하고 싶어요
128,0,2,3,1,2,4,2,0,1,ENFP,"다양한 음악 듣는 걸 좋아하고, 룸메이트와 취미 공유를 하고 싶어요."
129,0,4,4,1,3,3,1,0,0,ISFP,노래방 게임 운동 다 좋아해요!
130,4,3,3,0,1,3,0,0,1,ISFJ,"청소를 주기적으로 자주 하는 편이고, 룸메이트도 깔끔했으면 좋겠어요."
131,0,2,3,1,2,3,2,0,2,INFP,제가 내향적이라서 외향적인 사람이랑 룸메이트 하고 싶어요!
132,0,3,3,1,2,3,0,0,1,INTJ,주말이 되면 꼭 본가에 갑니다.
133,0,4,4,1,2,3,1,0,1,ISFP,밤낮으로 유튜브를 보는 셩격이에요.
